Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_GW,Vph1_Num_wells_GW,Vph1_penetrance_GW,Vph1_class E_GW,Vph1_class G_GW,Vph1_enlarged_GW,Vph1_fragmented_GW,Vph1_multilobed_GW,Vph1_V-ATPase defect_GW,Vph1_WT_GW,Vph1_none_GW,Snf7_Num_cells_GW,Snf7_Num_wells_GW,Snf7_penetrance_GW,Snf7_condensed_GW,Snf7_fragmented_GW,Snf7_membrane_GW,Snf7_WT_GW,Snf7_none_GW,Sla1_Num_cells_GW,Sla1_Num_wells_GW,Sla1_penetrance_GW,Sla1_aggregate_GW,Sla1_decreased patch number_GW,Sla1_depolarized patches_GW,Sla1_increased patch number_GW,Sla1_WT_GW,Sla1_none_GW,Sac6_Num_cells_GW,Sac6_Num_wells_GW,Sac6_penetrance_GW,Sac6_aggregate_GW,Sac6_bright patches_GW,Sac6_decreased patch number_GW,Sac6_depolarized patches_GW,Sac6_WT_GW,Sac6_none_GW
YBL038W,MRPL16,,DMA-SLOW1,,155,1,11,0.013,0.006,0,0.019,0.039,0.032,0.89,0,28,1,39.3,0.286,0.107,0,0.607,0,56,1,17.9,0,0.054,0.036,0.071,0.821,0.018,55,1,38.2,0.018,0.018,0.055,0.291,0.618,0
YAL016W,TPD3,,DMA-SLOW10,,,,,,,,,,,,,226,1,35.4,0.115,0.013,0.177,0.646,0.049,,,,,,,,,,,,,,,,,,
YDR350C,ATP22,,DMA-SLOW100,,255,1,7.1,0,0,0,0.012,0.047,0.008,0.929,0.004,162,3,31.5,0.148,0.13,0.012,0.685,0.025,245,1,15.9,0.02,0.057,0.033,0.045,0.841,0.004,165,1,27.9,0.03,0.03,0.085,0.133,0.721,0
YDR347W,MRP1,,DMA-SLOW101,,261,1,6.9,0.015,0,0,0.008,0.042,0.004,0.931,0,164,2,31.1,0.104,0.11,0.049,0.689,0.049,177,1,14.7,0.056,0.045,0.017,0.028,0.853,0,166,1,24.7,0.048,0.036,0.042,0.114,0.753,0.006
YDR337W,MRPS28,,DMA-SLOW102,,225,1,8,0.009,0.004,0,0.018,0.04,0.009,0.92,0,82,1,20.7,0.134,0.012,0.037,0.793,0.024,25,1,12,0.04,0.08,0,0,0.88,0,26,1,15.4,0.038,0.038,0.077,0,0.846,0
YDR323C,PEP7,,DMA-SLOW103,,189,3,27.5,0.021,0,0.011,0.18,0.063,0,0.725,0,797,3,40.9,0.058,0.271,0.033,0.591,0.048,267,2,34.5,0.082,0.112,0.022,0.101,0.655,0.026,,,,,,,,,
YDR322W,MRPL35,,DMA-SLOW104,,374,3,12.3,0.013,0.003,0.011,0.029,0.056,0.008,0.877,0.003,28,1,25,0.036,0.143,0.071,0.75,0,208,1,16.8,0.053,0.024,0.019,0.063,0.832,0.01,99,1,23.2,0.081,0.02,0.01,0.101,0.768,0.02
YDR300C,PRO1,,DMA-SLOW105,,57,1,24.6,0.018,0,0.035,0.07,0.123,0,0.754,0,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR298C,ATP5,,DMA-SLOW106,,128,1,10.9,0.008,0.008,0.008,0.039,0.047,0,0.891,0,126,1,23,0.087,0.079,0.04,0.77,0.024,86,1,20.9,0.012,0.151,0.047,0,0.791,0,87,1,23,0,0.046,0.103,0.08,0.77,0
YDR296W,MHR1,,DMA-SLOW107,,214,2,4.7,0.005,0,0,0.023,0.014,0.005,0.953,0,280,2,28.6,0.054,0.054,0.129,0.714,0.05,68,1,14.7,0.044,0.029,0.044,0.029,0.853,0,66,1,24.2,0.015,0.03,0.03,0.152,0.758,0.015
YDR295C,HDA2,,DMA-SLOW108,,159,1,10.1,0.006,0,0,0.019,0.05,0.025,0.899,0,100,2,33,0.09,0.17,0.04,0.67,0.03,339,1,17.1,0.032,0.065,0.024,0.038,0.829,0.012,319,1,19.4,0.013,0.019,0.085,0.078,0.806,0
YDR495C,VPS3,,DMA-SLOW109,,134,4,34.3,0,0,0,0.201,0.112,0.03,0.657,0,844,4,38.3,0.147,0.164,0.024,0.617,0.049,253,4,42.7,0.059,0.174,0.012,0.174,0.573,0.008,,,,,,,,,
