Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_secondary,Vph1_Num_wells_secondary,Vph1_penetrance_secondary,Vph1_class E_secondary,Vph1_class G_secondary,Vph1_enlarged_secondary,Vph1_fragmented_secondary,Vph1_multilobed_secondary,Vph1_V-ATPase defect_secondary,Vph1_WT_secondary,Vph1_none_secondary,Snf7_Num_cells_secondary,Snf7_Num_wells_secondary,Snf7_penetrance_secondary,Snf7_condensed_secondary,Snf7_fragmented_secondary,Snf7_membrane_secondary,Snf7_WT_secondary,Snf7_none_secondary,Sla1_Num_cells_secondary,Sla1_Num_wells_secondary,Sla1_penetrance_secondary,Sla1_aggregate_secondary,Sla1_decreased patch number_secondary,Sla1_depolarized patches_secondary,Sla1_increased patch number_secondary,Sla1_WT_secondary,Sla1_none_secondary,Sac6_Num_cells_secondary,Sac6_Num_wells_secondary,Sac6_penetrance_secondary,Sac6_aggregate_secondary,Sac6_bright patches_secondary,Sac6_decreased patch number_secondary,Sac6_depolarized patches_secondary,Sac6_WT_secondary,Sac6_none_secondary
YBL038W,MRPL16,,DMA-SLOW1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL016W,TPD3,,DMA-SLOW10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR350C,ATP22,,DMA-SLOW100,,606,2,14.7,0.005,0.008,0.017,0.063,0.043,0.012,0.853,0,735,2,27.1,0.075,0.154,0.024,0.729,0.018,946,2,28.6,0.026,0.095,0.107,0.048,0.714,0.011,342,1,22.2,0.018,0.07,0.044,0.079,0.778,0.012
YDR347W,MRP1,,DMA-SLOW101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR337W,MRPS28,,DMA-SLOW102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR323C,PEP7,,DMA-SLOW103,,932,2,17,0.02,0.02,0.005,0.088,0.032,0.003,0.83,0,427,2,26,0.171,0.042,0.021,0.74,0.026,184,2,60.3,0.13,0.033,0.359,0.071,0.397,0.011,,,,,,,,,
YDR322W,MRPL35,,DMA-SLOW104,,1851,2,9.9,0.003,0.019,0.025,0.029,0.022,0.001,0.901,0.001,928,2,18.9,0.068,0.071,0.028,0.811,0.022,1133,2,24.2,0.03,0.071,0.121,0.012,0.758,0.007,1286,2,19.6,0.011,0.044,0.058,0.08,0.804,0.003
YDR300C,PRO1,,DMA-SLOW105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR298C,ATP5,,DMA-SLOW106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR296W,MHR1,,DMA-SLOW107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR295C,HDA2,,DMA-SLOW108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR495C,VPS3,,DMA-SLOW109,,184,2,100,0.027,0.065,0.016,0.875,0,0.011,0,0.005,649,2,28.2,0.239,0.022,0.005,0.718,0.017,34,2,55.9,0.088,0,0.412,0.059,0.441,0,167,2,52.1,0.036,0.072,0.054,0.323,0.479,0.036
YDR484W,VPS52,,DMA-SLOW110,,120,2,78.3,0.017,0.05,0.067,0.542,0.1,0.008,0.217,0,82,2,84.1,0.061,0.695,0.085,0.159,0,116,2,42.2,0.052,0.069,0.302,0,0.578,0,126,2,77,0.23,0.008,0.143,0.373,0.23,0.016
YDR470C,UGO1,,DMA-SLOW111,,39,1,25.6,0,0,0,0.077,0.128,0.051,0.744,0,26,1,76.9,0.154,0.538,0.077,0.231,0,68,2,35.3,0.044,0.044,0.176,0.044,0.647,0.044,101,2,86.1,0.02,0.119,0.307,0.416,0.139,0
YDR462W,MRPL28,,DMA-SLOW112,,209,1,5.7,0.024,0.005,0.01,0.014,0.005,0,0.943,0,,,,,,,,,92,2,48.9,0.098,0.098,0.261,0.022,0.511,0.011,49,1,38.8,0.041,0.02,0.163,0.143,0.612,0.02
YDR457W,TOM1,,DMA-SLOW113,,1982,2,7,0.004,0.005,0.006,0.028,0.027,0.001,0.93,0,738,2,31.4,0.065,0.148,0.066,0.686,0.035,538,2,22.3,0.043,0.065,0.074,0.033,0.777,0.007,1039,2,18.1,0.006,0.146,0.007,0.021,0.819,0.001
YDR456W,NHX1,,DMA-SLOW114,,84,2,57.1,0.167,0.06,0,0.19,0.083,0.071,0.429,0,102,2,42.2,0.01,0.412,0,0.578,0,140,2,50.7,0.157,0.029,0.257,0.05,0.493,0.014,138,2,46.4,0.029,0.029,0.051,0.326,0.536,0.029
YDR450W,RPS18A,,DMA-SLOW115,,777,2,10.2,0.004,0.003,0.05,0.028,0.014,0.003,0.898,0,426,2,26.3,0.117,0.087,0.04,0.737,0.019,417,2,18.7,0.036,0.038,0.053,0.053,0.813,0.007,381,2,26.8,0.01,0.084,0.076,0.087,0.732,0.01
YDR448W,ADA2,,DMA-SLOW116,,,,,,,,,,,,,18,1,38.9,0.056,0.222,0.111,0.611,0,936,1,23.9,0.032,0.099,0.083,0.019,0.761,0.005,,,,,,,,,
YDR443C,SSN2,,DMA-SLOW117,,691,2,7.4,0.025,0.02,0.001,0.004,0.023,0,0.926,0,179,1,24.6,0.022,0.201,0.011,0.754,0.011,592,2,40.9,0.066,0.162,0.164,0.008,0.591,0.008,701,2,46.4,0.019,0.031,0.17,0.227,0.536,0.017
YDR442W,,,DMA-SLOW118,,989,2,4.2,0.01,0.004,0.002,0.019,0.006,0.001,0.958,0,200,1,23,0.045,0.175,0.005,0.77,0.005,143,1,42,0.098,0.154,0.147,0.014,0.58,0.007,536,2,31.2,0.028,0.043,0.104,0.121,0.688,0.015
YDR432W,NPL3,,DMA-SLOW119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL009W,SPO7,,DMA-SLOW12,,1263,2,9.6,0.012,0.014,0.002,0.037,0.029,0.001,0.904,0,481,2,43.7,0.037,0.287,0.083,0.563,0.029,365,2,26,0.052,0.107,0.085,0.014,0.74,0.003,423,2,25.5,0.007,0.078,0.078,0.085,0.745,0.007
YDR418W,RPL12B,,DMA-SLOW120,,646,2,17.8,0.005,0.003,0.059,0.062,0.045,0.005,0.822,0,103,2,42.7,0.01,0.369,0.039,0.573,0.01,596,2,23.3,0.047,0.01,0.029,0.138,0.767,0.01,285,2,41.4,0,0.389,0.011,0.007,0.586,0.007
YEL046C,GLY1,,DMA-SLOW121,,2239,2,8,0.01,0.012,0.008,0.022,0.027,0,0.92,0,145,2,33.1,0.055,0.2,0.021,0.669,0.055,1317,2,23.6,0.026,0.076,0.109,0.021,0.764,0.005,2018,2,14,0.006,0.035,0.035,0.06,0.86,0.004
YEL045C,,,DMA-SLOW122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEL044W,IES6,,DMA-SLOW123,,,,,,,,,,,,,63,1,27,0.111,0.095,0.032,0.73,0.032,,,,,,,,,,376,1,27.9,0.019,0.066,0.074,0.112,0.721,0.008
